collection_date,variant,variant_count,total_count,variant_frequency
2020-04-18,Other,2,2,1
2020-04-28,Other,10,10,1
2020-05-08,Other,16,16,1
2020-05-18,Other,20,20,1
2020-05-28,Other,7,7,1
2020-06-07,Other,3,3,1
2020-06-17,Other,1,1,1
2020-06-27,Other,1,1,1
2020-07-07,Other,1,1,1
2020-08-06,Other,2,2,1
2020-08-16,Other,10,10,1
2020-08-26,Other,12,12,1
2020-09-05,Other,30,30,1
2020-09-15,Other,42,42,1
2020-09-25,Other,190,190,1
2020-10-05,Other,298,298,1
2020-10-15,Other,275,275,1
2020-10-25,B.1.1.7,4,94,0.0425531914893617
2020-10-25,Other,90,94,0.9574468085106383
2020-11-04,B.1.1.7,4,190,0.021052631578947368
2020-11-04,Other,186,190,0.9789473684210527
2020-11-14,B.1.1.7,23,175,0.13142857142857142
2020-11-14,Other,152,175,0.8685714285714285
2020-11-24,B.1.1.7,56,145,0.38620689655172413
2020-11-24,Other,89,145,0.6137931034482759
2020-12-04,B.1.1.7,90,151,0.5960264900662252
2020-12-04,Other,61,151,0.40397350993377484
2020-12-14,B.1.1.7,491,829,0.5922798552472859
2020-12-14,Other,338,829,0.4077201447527141
2020-12-24,B.1.1.7,338,479,0.7056367432150313
2020-12-24,Other,141,479,0.29436325678496866
2021-01-03,B.1.1.7,684,892,0.7668161434977578
2021-01-03,Other,208,892,0.23318385650224216
2021-01-13,B.1.1.7,489,578,0.8460207612456747
2021-01-13,Other,89,578,0.15397923875432526
2021-01-23,B.1.1.7,357,404,0.8836633663366337
2021-01-23,Other,47,404,0.11633663366336634
2021-02-02,B.1.1.7,240,258,0.9302325581395349
2021-02-02,Other,18,258,0.06976744186046512
2021-02-12,B.1.1.7,128,137,0.9343065693430657
2021-02-12,Other,9,137,0.06569343065693431
2021-02-22,B.1.1.7,120,135,0.8888888888888888
2021-02-22,Other,15,135,0.1111111111111111
2021-03-04,B.1.1.7,97,104,0.9326923076923077
2021-03-04,Other,7,104,0.0673076923076923
2021-03-14,B.1.1.7,90,97,0.9278350515463918
2021-03-14,Other,7,97,0.07216494845360824
2021-03-24,B.1.1.7,84,89,0.9438202247191011
2021-03-24,Other,5,89,0.056179775280898875
2021-04-03,B.1.1.7,54,59,0.9152542372881356
2021-04-03,Other,5,59,0.0847457627118644
2021-04-13,B.1.1.7,36,39,0.9230769230769231
2021-04-13,Other,3,39,0.07692307692307693
2021-04-23,B.1.1.7,26,27,0.9629629629629629
2021-04-23,B.1.617.2,1,27,0.037037037037037035
2021-05-03,B.1.1.7,17,18,0.9444444444444444
2021-05-03,B.1.617.2,1,18,0.05555555555555555
2021-05-13,B.1.1.7,12,28,0.42857142857142855
2021-05-13,B.1.617.2,16,28,0.5714285714285714
2021-05-23,B.1.1.7,14,49,0.2857142857142857
2021-05-23,B.1.617.2,34,49,0.6938775510204082
2021-05-23,Other,1,49,0.02040816326530612
2021-06-02,B.1.1.7,8,74,0.10810810810810811
2021-06-02,B.1.617.2,66,74,0.8918918918918919
2021-06-12,B.1.1.7,6,130,0.046153846153846156
2021-06-12,B.1.617.2,123,130,0.9461538461538461
2021-06-12,Other,1,130,0.007692307692307693
2021-06-22,B.1.1.7,7,287,0.024390243902439025
2021-06-22,B.1.617.2,279,287,0.9721254355400697
2021-06-22,Other,1,287,0.003484320557491289
2021-07-02,B.1.1.7,2,505,0.0039603960396039604
2021-07-02,B.1.617.2,503,505,0.996039603960396
2021-07-12,B.1.617.2,838,838,1
2021-07-22,B.1.617.2,605,606,0.9983498349834984
2021-07-22,Other,1,606,0.0016501650165016502
2021-08-01,B.1.1.7,1,613,0.0016313213703099511
2021-08-01,B.1.617.2,611,613,0.9967373572593801
2021-08-01,Other,1,613,0.0016313213703099511
2021-08-11,B.1.1.7,2,688,0.0029069767441860465
2021-08-11,B.1.617.2,686,688,0.997093023255814
2021-08-21,B.1.1.7,1,678,0.0014749262536873156
2021-08-21,B.1.617.2,677,678,0.9985250737463127
2021-08-31,B.1.617.2,849,851,0.9976498237367802
2021-08-31,Other,2,851,0.0023501762632197414
2021-09-10,B.1.617.2,744,745,0.9986577181208054
2021-09-10,Other,1,745,0.0013422818791946308
2021-09-20,B.1.617.2,991,991,1
2021-09-30,B.1.617.2,1212,1212,1
2021-10-10,B.1.1.7,1,1455,6.872852233676976e-4
2021-10-10,B.1.617.2,1448,1455,0.9951890034364261
2021-10-10,Other,6,1455,0.004123711340206186
2021-10-20,B.1.617.2,1541,1550,0.9941935483870967
2021-10-20,Other,9,1550,0.005806451612903226
2021-10-30,B.1.617.2,1253,1259,0.9952343129467831
2021-10-30,Other,6,1259,0.004765687053216839
2021-11-09,B.1.617.2,1169,1175,0.9948936170212765
2021-11-09,Other,6,1175,0.005106382978723404
2021-11-19,B.1.617.2,1186,1207,0.9826014913007457
2021-11-19,Other,21,1207,0.01739850869925435
2021-11-29,B.1.617.2,1213,1264,0.9596518987341772
2021-11-29,BA.1,42,1264,0.03322784810126582
2021-11-29,Other,9,1264,0.007120253164556962
2021-12-09,B.1.617.2,995,1756,0.566628701594533
2021-12-09,BA.1,738,1756,0.4202733485193622
2021-12-09,Other,23,1756,0.013097949886104784
2021-12-19,B.1.617.2,521,2674,0.19483919222139118
2021-12-19,BA.1,2103,2674,0.7864622288706058
2021-12-19,Other,50,2674,0.018698578908002993
2021-12-29,B.1.617.2,150,4897,0.0306309985705534
2021-12-29,BA.1,4580,4897,0.9352664896875638
2021-12-29,BA.2,10,4897,0.0020420665713702267
2021-12-29,Other,157,4897,0.032060445170512555
2022-01-08,B.1.617.2,56,4210,0.01330166270783848
2022-01-08,BA.1,3958,4210,0.9401425178147268
2022-01-08,BA.2,49,4210,0.01163895486935867
2022-01-08,Other,147,4210,0.03491686460807601
2022-01-18,B.1.617.2,12,3709,0.0032353734160150984
2022-01-18,BA.1,3459,3709,0.9325963871663521
2022-01-18,BA.2,158,3709,0.04259908331086546
2022-01-18,Other,80,3709,0.021569156106767323
2022-01-28,B.1.617.2,7,4114,0.001701507049100632
2022-01-28,BA.1,3510,4114,0.8531842489061741
2022-01-28,BA.2,478,4114,0.11618862421001458
2022-01-28,Other,119,4114,0.028925619834710745
2022-02-07,B.1.617.2,4,3493,0.001145147437732608
2022-02-07,BA.1,2538,3493,0.7265960492413398
2022-02-07,BA.2,819,3493,0.23446893787575152
2022-02-07,Other,132,3493,0.03778986544517607
2022-02-17,B.1.617.2,1,2663,3.755163349605708e-4
2022-02-17,BA.1,1357,2663,0.5095756665414946
2022-02-17,BA.2,1144,2663,0.42959068719489296
2022-02-17,Other,161,2663,0.0604581299286519
2022-02-27,B.1.617.2,2,3228,6.195786864931846e-4
2022-02-27,BA.1,890,3228,0.2757125154894672
2022-02-27,BA.2,2058,3228,0.637546468401487
2022-02-27,Other,278,3228,0.08612143742255267
2022-03-09,BA.1,705,5334,0.13217097862767155
2022-03-09,BA.2,4269,5334,0.8003374578177728
2022-03-09,Other,360,5334,0.06749156355455568
2022-03-19,B.1.617.2,1,6606,1.5137753557372085e-4
2022-03-19,BA.1,387,6606,0.05858310626702997
2022-03-19,BA.2,6053,6606,0.9162882228277324
2022-03-19,BA.5,1,6606,1.5137753557372085e-4
2022-03-19,Other,164,6606,0.02482591583409022
2022-03-29,BA.1,196,6138,0.03193222548061258
2022-03-29,BA.2,5890,6138,0.9595959595959596
2022-03-29,BA.4,2,6138,3.2583903551645487e-4
2022-03-29,BA.5,1,6138,1.6291951775822744e-4
2022-03-29,Other,49,6138,0.007983056370153145
2022-04-08,BA.1,44,3906,0.011264720942140297
2022-04-08,BA.2,3836,3906,0.982078853046595
2022-04-08,BA.4,4,3906,0.0010240655401945725
2022-04-08,Other,22,3906,0.0056323604710701485
2022-04-18,BA.1,25,3126,0.00799744081893794
2022-04-18,BA.2,3064,3126,0.9801663467690339
2022-04-18,BA.4,5,3126,0.001599488163787588
2022-04-18,BA.5,3,3126,9.596928982725527e-4
2022-04-18,Other,29,3126,0.009277031349968011
2022-04-28,BA.1,12,1471,0.008157715839564922
2022-04-28,BA.2,1424,1471,0.9680489462950373
2022-04-28,BA.4,12,1471,0.008157715839564922
2022-04-28,BA.5,11,1471,0.007477906186267845
2022-04-28,Other,12,1471,0.008157715839564922
2022-05-08,BA.1,9,1283,0.007014809041309431
2022-05-08,BA.2,1186,1283,0.9243959469992206
2022-05-08,BA.4,30,1283,0.02338269680436477
2022-05-08,BA.5,38,1283,0.029618082618862042
2022-05-08,Other,20,1283,0.01558846453624318
2022-05-18,BA.1,1,1101,9.082652134423251e-4
2022-05-18,BA.2,925,1101,0.8401453224341507
2022-05-18,BA.4,70,1101,0.06357856494096276
2022-05-18,BA.5,100,1101,0.09082652134423251
2022-05-18,Other,5,1101,0.004541326067211626
2022-05-28,BA.1,2,980,0.0020408163265306124
2022-05-28,BA.2,608,980,0.6204081632653061
2022-05-28,BA.4,128,980,0.1306122448979592
2022-05-28,BA.5,236,980,0.24081632653061225
2022-05-28,Other,6,980,0.006122448979591836
2022-06-07,BA.2,722,1806,0.3997785160575858
2022-06-07,BA.4,360,1806,0.19933554817275748
2022-06-07,BA.5,719,1806,0.39811738648947953
2022-06-07,Other,5,1806,0.0027685492801771874
2022-06-17,BA.1,2,2223,8.99685110211426e-4
2022-06-17,BA.2,417,2223,0.18758434547908232
2022-06-17,BA.4,455,2223,0.2046783625730994
2022-06-17,BA.5,1345,2223,0.605038236617184
2022-06-17,Other,4,2223,0.001799370220422852
2022-06-27,BA.2,274,2909,0.09419044345135785
2022-06-27,BA.2.75,1,2909,3.4376074252320387e-4
2022-06-27,BA.4,554,2909,0.19044345135785493
2022-06-27,BA.5,2077,2909,0.7139910622206944
2022-06-27,Other,3,2909,0.0010312822275696115
2022-07-07,BA.1,1,2576,3.8819875776397513e-4
2022-07-07,BA.2,133,2576,0.051630434782608696
2022-07-07,BA.4,421,2576,0.16343167701863354
2022-07-07,BA.5,2016,2576,0.782608695652174
2022-07-07,Other,5,2576,0.0019409937888198758
2022-07-17,BA.1,1,2951,3.3886818027787193e-4
2022-07-17,BA.2,73,2951,0.024737377160284648
2022-07-17,BA.2.75,2,2951,6.777363605557439e-4
2022-07-17,BA.4,430,2951,0.1457133175194849
2022-07-17,BA.5,2437,2951,0.8258217553371738
2022-07-17,Other,8,2951,0.0027109454422229754
2022-07-27,BA.2,26,1617,0.016079158936301793
2022-07-27,BA.2.75,5,1617,0.0030921459492888066
2022-07-27,BA.4,210,1617,0.12987012987012986
2022-07-27,BA.5,1373,1617,0.8491032776747063
2022-07-27,Other,3,1617,0.0018552875695732839
2022-08-06,BA.2,7,898,0.0077951002227171495
2022-08-06,BA.2.75,3,898,0.0033407572383073497
2022-08-06,BA.4,97,898,0.10801781737193764
2022-08-06,BA.5,791,898,0.8808463251670379
2022-08-16,BA.2,13,943,0.013785790031813362
2022-08-16,BA.2.75,7,943,0.007423117709437964
2022-08-16,BA.4,80,943,0.08483563096500531
2022-08-16,BA.5,840,943,0.8907741251325557
2022-08-16,BQ.1,1,943,0.0010604453870625664
2022-08-16,Other,2,943,0.0021208907741251328
2022-08-26,BA.2,5,742,0.006738544474393531
2022-08-26,BA.2.75,15,742,0.02021563342318059
2022-08-26,BA.4,71,742,0.09568733153638814
2022-08-26,BA.5,645,742,0.8692722371967655
2022-08-26,BQ.1,4,742,0.005390835579514825
2022-08-26,Other,2,742,0.0026954177897574125
2022-09-05,BA.2,1,937,0.0010672358591248667
2022-09-05,BA.2.75,21,937,0.022411953041622197
2022-09-05,BA.4,73,937,0.07790821771611527
2022-09-05,BA.5,830,937,0.8858057630736392
2022-09-05,BQ.1,11,937,0.011739594450373533
2022-09-05,Other,1,937,0.0010672358591248667
2022-09-15,BA.2,1,1186,8.431703204047217e-4
2022-09-15,BA.2.75,44,1186,0.03709949409780776
2022-09-15,BA.4,122,1186,0.10286677908937605
2022-09-15,BA.5,971,1186,0.8187183811129848
2022-09-15,BQ.1,42,1186,0.03541315345699832
2022-09-15,Other,6,1186,0.00505902192242833
2022-09-25,BA.2,4,1623,0.0024645717806531116
2022-09-25,BA.2.75,83,1623,0.051139864448552064
2022-09-25,BA.4,131,1623,0.0807147258163894
2022-09-25,BA.5,1263,1623,0.7781885397412199
2022-09-25,BQ.1,129,1623,0.07948243992606285
2022-09-25,Other,9,1623,0.005545286506469501
2022-09-25,XBB,4,1623,0.0024645717806531116
2022-10-05,BA.2,7,2230,0.003139013452914798
2022-10-05,BA.2.75,136,2230,0.06098654708520179
2022-10-05,BA.4,141,2230,0.06322869955156951
2022-10-05,BA.5,1611,2230,0.7224215246636772
2022-10-05,BQ.1,321,2230,0.14394618834080716
2022-10-05,Other,4,2230,0.0017937219730941704
2022-10-05,XBB,10,2230,0.004484304932735426
2022-10-15,BA.2,5,1732,0.002886836027713626
2022-10-15,BA.2.75,126,1732,0.07274826789838337
2022-10-15,BA.4,88,1732,0.050808314087759814
2022-10-15,BA.5,1020,1732,0.5889145496535797
2022-10-15,BQ.1,446,1732,0.2575057736720554
2022-10-15,Other,13,1732,0.007505773672055427
2022-10-15,XBB,34,1732,0.019630484988452657
2022-10-25,BA.2,5,1394,0.003586800573888092
2022-10-25,BA.2.75,126,1394,0.09038737446197992
2022-10-25,BA.4,61,1394,0.04375896700143472
2022-10-25,BA.5,740,1394,0.5308464849354376
2022-10-25,BQ.1,426,1394,0.30559540889526543
2022-10-25,Other,9,1394,0.006456241032998565
2022-10-25,XBB,27,1394,0.019368723098995694
2022-11-04,BA.2,5,907,0.005512679162072767
2022-11-04,BA.2.75,121,907,0.13340683572216097
2022-11-04,BA.4,32,907,0.03528114663726571
2022-11-04,BA.5,333,907,0.3671444321940463
2022-11-04,BQ.1,390,907,0.42998897464167585
2022-11-04,Other,3,907,0.0033076074972436605
2022-11-04,XBB,23,907,0.025358324145534728
2022-11-14,BA.2,3,869,0.0034522439585730723
2022-11-14,BA.2.75,114,869,0.13118527042577677
2022-11-14,BA.4,20,869,0.023014959723820484
2022-11-14,BA.5,258,869,0.29689298043728424
2022-11-14,BQ.1,417,869,0.4798619102416571
2022-11-14,Other,6,869,0.006904487917146145
2022-11-14,XBB,51,869,0.05868814729574223
2022-11-24,BA.2,7,1045,0.0066985645933014355
2022-11-24,BA.2.75,181,1045,0.17320574162679425
2022-11-24,BA.4,25,1045,0.023923444976076555
2022-11-24,BA.5,200,1045,0.19138755980861244
2022-11-24,BQ.1,564,1045,0.539712918660287
2022-11-24,Other,11,1045,0.010526315789473684
2022-11-24,XBB,57,1045,0.05454545454545454
2022-12-04,BA.2,5,1772,0.0028216704288939053
2022-12-04,BA.2.75,353,1772,0.1992099322799097
2022-12-04,BA.4,15,1772,0.008465011286681716
2022-12-04,BA.5,250,1772,0.14108352144469527
2022-12-04,BQ.1,1014,1772,0.572234762979684
2022-12-04,Other,12,1772,0.006772009029345372
2022-12-04,XBB,123,1772,0.06941309255079006
2022-12-14,BA.2,4,2515,0.0015904572564612327
2022-12-14,BA.2.75,634,2515,0.25208747514910534
2022-12-14,BA.4,16,2515,0.006361829025844931
2022-12-14,BA.5,254,2515,0.10099403578528827
2022-12-14,BQ.1,1382,2515,0.5495029821073558
2022-12-14,Other,19,2515,0.0075546719681908545
2022-12-14,XBB,206,2515,0.08190854870775348
2022-12-24,BA.2,3,1711,0.0017533606078316774
2022-12-24,BA.2.75,544,1711,0.3179427235534775
2022-12-24,BA.4,7,1711,0.004091174751607247
2022-12-24,BA.5,138,1711,0.08065458796025717
2022-12-24,BQ.1,855,1711,0.49970777323202803
2022-12-24,Other,34,1711,0.019871420222092345
2022-12-24,XBB,130,1711,0.07597895967270601
2023-01-03,BA.2,2,2168,9.225092250922509e-4
2023-01-03,BA.2.75,728,2168,0.33579335793357934
2023-01-03,BA.4,9,2168,0.004151291512915129
2023-01-03,BA.5,137,2168,0.06319188191881919
2023-01-03,BQ.1,1040,2168,0.4797047970479705
2023-01-03,Other,49,2168,0.022601476014760147
2023-01-03,XBB,203,2168,0.09363468634686346
2023-01-13,BA.2,1,752,0.0013297872340425532
2023-01-13,BA.2.75,242,752,0.32180851063829785
2023-01-13,BA.4,3,752,0.003989361702127659
2023-01-13,BA.5,47,752,0.0625
2023-01-13,BQ.1,303,752,0.4029255319148936
2023-01-13,Other,14,752,0.018617021276595744
2023-01-13,XBB,142,752,0.18882978723404256
2023-01-23,BA.2,3,1142,0.002626970227670753
2023-01-23,BA.2.75,418,1142,0.3660245183887916
2023-01-23,BA.4,3,1142,0.002626970227670753
2023-01-23,BA.5,45,1142,0.03940455341506129
2023-01-23,BQ.1,305,1142,0.2670753064798599
2023-01-23,Other,44,1142,0.03852889667250438
2023-01-23,XBB,324,1142,0.28371278458844135
2023-02-02,BA.2,1,1434,6.97350069735007e-4
2023-02-02,BA.2.75,502,1434,0.3500697350069735
2023-02-02,BA.4,5,1434,0.003486750348675035
2023-02-02,BA.5,51,1434,0.03556485355648536
2023-02-02,BQ.1,292,1434,0.20362622036262204
2023-02-02,Other,24,1434,0.016736401673640166
2023-02-02,XBB,559,1434,0.3898186889818689
2023-02-12,BA.2,1,1616,6.188118811881188e-4
2023-02-12,BA.2.75,445,1616,0.2753712871287129
2023-02-12,BA.4,4,1616,0.0024752475247524753
2023-02-12,BA.5,29,1616,0.017945544554455444
2023-02-12,BQ.1,244,1616,0.15099009900990099
2023-02-12,Other,27,1616,0.01670792079207921
2023-02-12,XBB,866,1616,0.5358910891089109
2023-02-22,BA.2,1,1491,6.706908115358819e-4
2023-02-22,BA.2.75,343,1491,0.2300469483568075
2023-02-22,BA.4,1,1491,6.706908115358819e-4
2023-02-22,BA.5,8,1491,0.0053655264922870555
2023-02-22,BQ.1,144,1491,0.096579476861167
2023-02-22,Other,40,1491,0.02682763246143528
2023-02-22,XBB,954,1491,0.6398390342052314
2023-03-04,BA.2.75,81,469,0.17270788912579957
2023-03-04,BA.5,2,469,0.0042643923240938165
2023-03-04,BQ.1,23,469,0.04904051172707889
2023-03-04,Other,7,469,0.014925373134328358
2023-03-04,XBB,356,469,0.7590618336886994
